backend,backend_kind,batch_size,model,model_kind,params_millions_effective,mode,n_scenarios,latency_geomean_ms,latency_median_of_medians_ms,tokens_per_s_geomean,tokens_per_s_compute_geomean,gpu_peak_mb_median,ollama_load_ms_median,params_millions_config_median,params_millions_measured_median
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,e2e_kv,2,373.08705737458695,376.58529999862367,120.13783050380088,120.13783050380088,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,e2e_kv,2,208.1474955316246,208.833249998861,215.33705965354753,215.33705965354753,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,e2e_kv,2,577.9704928313029,631.4385500008939,77.55044629088442,77.55044629088442,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,e2e_kv,2,412.8554092316193,413.0059999997684,108.56553810315728,108.56553810315728,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,e2e_kv,2,498.1435587247682,498.20714999987104,89.97781638845737,89.97781638845737,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,e2e_kv,2,669.5718989521179,671.1590000004435,66.94108538930072,66.94108538930072,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,kv_decode,2,355.61137140762315,358.8055999989592,89.98587383000093,89.98587383000093,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,kv_decode,2,200.82544074625858,201.63189999948372,159.34236161060772,159.34236161060772,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,kv_decode,2,551.37736246729,600.1256000008652,58.036477697972856,58.036477697972856,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,kv_decode,2,393.57463756657353,393.66489999974874,81.30605213245518,81.30605213245518,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,kv_decode,2,477.4309134984843,477.494900000238,67.02540429465004,67.02540429464999,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,kv_decode,2,639.405094227531,640.6971500000509,50.04652025592539,50.04652025592539,,,96.088,96.08832
hf_cpu_fp32,hf,1,models/gpt2-5m,hf,5.03672,prefill,2,16.22879316112263,16.32025000071735,762.1834078509712,762.1834078509712,,,5.037,5.03672
hf_cpu_fp32,hf,1,models/gpt2-25m,hf,25.016064,prefill,2,9.314583503552726,9.5725000001039,1327.9516869578904,1327.9516869578904,,,25.016,25.016064
hf_cpu_fp32,hf,1,models/gpt2-45m,hf,45.1712,prefill,2,21.38463925583162,23.36855000066862,578.4206471231377,578.4206471231377,,,45.171,45.1712
hf_cpu_fp32,hf,1,models/gpt2-50m,hf,51.475968,prefill,2,19.14854269776353,19.34110000001965,645.9664880031664,645.9664880031664,,,51.476,51.475968
hf_cpu_fp32,hf,1,models/gpt2-75m,hf,74.824704,prefill,2,21.00533505394682,21.071850000225822,588.8654879860549,588.8654879860549,,,74.825,74.824704
hf_cpu_fp32,hf,1,models/gpt2-100m,hf,96.08832,prefill,2,29.239828615387495,29.861300000447955,423.0297324774199,423.0297324774199,,,96.088,96.08832
